Gene,UniProt_ID,Protein_Name,Protein_Length,Protein_Length_kDa_Approx,Primary_Function,Subcellular_Location
DRD2,P14416,Dopamine receptor D2 (Dopamine D2 receptor),443,48.73,Dopamine receptor signaling,"SUBCELLULAR LOCATION: Postsynaptic cell membrane {ECO:0000250|UniProtKB:P61169}; Multi-pass membrane protein {ECO:0000269|PubMed:32528175, ECO:0000269|PubMed:33571431}. Cell membrane {ECO:0000269|PubMed:21645528, ECO:0000269|PubMed:23493394, ECO:0000269|PubMed:26535572, ECO:0000269|PubMed:8413587}; Multi-pass membrane protein {ECO:0000269|PubMed:32528175, ECO:0000269|PubMed:33571431}. Golgi apparatus membrane {ECO:0000269|PubMed:26535572}; Multi-pass membrane protein {ECO:0000269|PubMed:32528175, ECO:0000269|PubMed:33571431}. Note=Mainly active on postsynaptic membrane (By similarity). Specifically localizes to special plasma membrane microcompartments (PubMed:23493394). {ECO:0000250|UniProtKB:P61169, ECO:0000269|PubMed:23493394}."
GRIN2A,Q12879,"Glutamate receptor ionotropic, NMDA 2A (GluN2A) (Glutamate [NMDA] receptor subunit epsilon-1) (N-methyl D-aspartate receptor subtype 2A) (NMDAR2A) (NR2A) (hNR2A)",1464,161.04,Glutamate receptor / ion channel,"SUBCELLULAR LOCATION: Cell projection, dendritic spine {ECO:0000250|UniProtKB:Q00959}. Cell membrane {ECO:0000269|PubMed:23933820, ECO:0000269|PubMed:26875626, ECO:0000269|PubMed:26919761, ECO:0000269|PubMed:27839871, ECO:0000269|PubMed:28095420, ECO:0000269|PubMed:28105280, ECO:0000269|PubMed:28242877, ECO:0000269|PubMed:38538865, ECO:0000269|PubMed:8768735}; Multi-pass membrane protein {ECO:0000269|PubMed:34186027}. Synapse {ECO:0000250|UniProtKB:P35436}. Postsynaptic cell membrane {ECO:0000250|UniProtKB:Q00959}; Multi-pass membrane protein {ECO:0000269|PubMed:34186027}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:P35436}. Note=Expression at the dendrite cell membrane and at synapses is regulated by SORCS2 and the retromer complex. {ECO:0000250|UniProtKB:P35436}."
GRIN2B,Q13224,"Glutamate receptor ionotropic, NMDA 2B (GluN2B) (Glutamate [NMDA] receptor subunit epsilon-2) (N-methyl D-aspartate receptor subtype 2B) (NMDAR2B) (NR2B) (N-methyl-D-aspartate receptor subunit 3) (NR3) (hNR3)",1484,163.24,Glutamate receptor / ion channel,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26875626, ECO:0000269|PubMed:26919761, ECO:0000269|PubMed:27839871, ECO:0000269|PubMed:28095420, ECO:0000269|PubMed:28126851, ECO:0000269|PubMed:38538865, ECO:0000269|PubMed:8768735}; Multi-pass membrane protein {ECO:0000269|PubMed:34321660}. Postsynaptic cell membrane {ECO:0000250|UniProtKB:Q00960}; Multi-pass membrane protein {ECO:0000269|PubMed:34321660}. Cell projection, dendrite {ECO:0000269|PubMed:27839871}. Late endosome {ECO:0000250|UniProtKB:Q01097}. Lysosome {ECO:0000250|UniProtKB:Q01097}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q01097}. Note=Co-localizes with the motor protein KIF17 along microtubules. {ECO:0000250|UniProtKB:Q01097}."
NRG1,Q02297,"Pro-neuregulin-1, membrane-bound isoform (Pro-NRG1) [Cleaved into: Neuregulin-1 (Acetylcholine receptor-inducing activity) (ARIA) (Breast cancer cell differentiation factor p45) (Glial growth factor) (Heregulin) (HRG) (Neu differentiation factor) (Sensory and motor neuron-derived factor)]",640,70.4,Growth factor signaling,"SUBCELLULAR LOCATION: [Pro-neuregulin-1, membrane-bound isoform]: Cell membrane; Single-pass type I membrane protein. Note=Does not seem to be active.; SUBCELLULAR LOCATION: [Neuregulin-1]: Secreted.; SUBCELLULAR LOCATION: [Isoform 8]: Nucleus. Note=May be nuclear.; SUBCELLULAR LOCATION: [Isoform 9]: Secreted. Note=Has a signal peptide.; SUBCELLULAR LOCATION: [Isoform 10]: Membrane; Single-pass type I membrane protein. Note=May possess an internal uncleaved signal sequence."
DISC1,Q9NRI5,Disrupted in schizophrenia 1 protein,854,93.94,Neurodevelopment / signaling,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12506198, ECO:0000269|PubMed:15797709}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:14962739, ECO:0000269|PubMed:15797709}. Mitochondrion {ECO:0000269|PubMed:12506198, ECO:0000269|PubMed:15797709}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:12812986, ECO:0000269|PubMed:18955030}. Postsynaptic density {ECO:0000250|UniProtKB:Q811T9}. Note=Colocalizes with NDEL1 in the perinuclear region and the centrosome (By similarity). Localizes to punctate cytoplasmic foci which overlap in part with mitochondria (PubMed:12506198, PubMed:15797709). Colocalizes with PCNT at the centrosome (PubMed:18955030). {ECO:0000250|UniProtKB:Q811T9, ECO:0000269|PubMed:12506198, ECO:0000269|PubMed:15797709, ECO:0000269|PubMed:18955030}."
DTNBP1,Q96EV8,Dysbindin (Biogenesis of lysosome-related organelles complex 1 subunit 8) (BLOC-1 subunit 8) (Dysbindin-1) (Dystrobrevin-binding protein 1) (Hermansky-Pudlak syndrome 7 protein) (HPS7 protein),351,38.61,Synaptic vesicle trafficking,"SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm {ECO:0000269|PubMed:21390302}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:21390302}; Peripheral membrane protein {ECO:0000269|PubMed:21390302}; Cytoplasmic side {ECO:0000269|PubMed:21390302}. Endosome membrane {ECO:0000269|PubMed:21390302}; Peripheral membrane protein {ECO:0000269|PubMed:21390302}; Cytoplasmic side {ECO:0000269|PubMed:21390302}. Melanosome membrane {ECO:0000269|PubMed:21390302}; Peripheral membrane protein {ECO:0000269|PubMed:21390302}; Cytoplasmic side {ECO:0000269|PubMed:21390302}. Postsynaptic density {ECO:0000269|PubMed:21390302}. Endoplasmic reticulum {ECO:0000250}. Nucleus {ECO:0000269|PubMed:21390302}. Note=Mainly cytoplasmic but shuttles between the cytoplasm and nucleus. Exported out of the nucleus via its NES in a XPO1-dependent manner. Nuclear localization is required for regulation of the expression of genes such as SYN1. Detected in neuron cell bodies, axons and dendrites. Mainly located to the postsynaptic density. Detected at tubulovesicular elements in the vicinity of the Golgi apparatus and of melanosomes. Occasionally detected at the membrane of pigmented melanosomes in cultured melanoma cells. The BLOC-1 complex associates with the BLOC-2 complex in early endosome-associated tubules.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:21390302}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:21390302}; Peripheral membrane protein {ECO:0000269|PubMed:21390302}; Cytoplasmic side {ECO:0000269|PubMed:21390302}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000269|PubMed:21390302}; Peripheral membrane protein {ECO:0000269|PubMed:21390302}; Cytoplasmic side {ECO:0000269|PubMed:21390302}. Endosome membrane {ECO:0000269|PubMed:21390302}; Peripheral membrane protein {ECO:0000269|PubMed:21390302}; Cytoplasmic side {ECO:0000269|PubMed:21390302}. Melanosome membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Postsynaptic cell membrane {ECO:0000269|PubMed:21390302}. Endoplasmic reticulum {ECO:0000250}. Nucleus {ECO:0000269|PubMed:21390302}. Note=Shuttles between the cytoplasm and nucleus. Exported out of the nucleus via its NES in a XPO1-dependent manner. Nuclear localization is required for regulation of the expression of genes such as SYN1. Mainly expressed in the dendritic spine. Predominantly a synaptic vesicle isoform but also highly expressed in the nucleus. The BLOC-1 complex associates with the BLOC-2 complex in early endosome-associated tubules. Associated with the AP-3 complex at presynaptic terminals.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm {ECO:0000269|PubMed:21390302}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:21390302}; Peripheral membrane protein {ECO:0000269|PubMed:21390302}; Cytoplasmic side {ECO:0000269|PubMed:21390302}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000269|PubMed:21390302}; Peripheral membrane protein {ECO:0000269|PubMed:21390302}; Cytoplasmic side {ECO:0000269|PubMed:21390302}. Endosome membrane {ECO:0000269|PubMed:21390302}; Peripheral membrane protein {ECO:0000269|PubMed:21390302}; Cytoplasmic side {ECO:0000269|PubMed:21390302}. Melanosome membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Postsynaptic cell membrane {ECO:0000269|PubMed:21390302}. Endoplasmic reticulum {ECO:0000250}. Note=Exclusivley cytoplasmic. Predominantly found in the postsynaptic density (PSD). Little association with synaptic vesicles. The BLOC-1 complex associates with the BLOC-2 complex in early endosome-associated tubules. Associated with the AP-3 complex at presynaptic terminals."
COMT,P21964,Catechol O-methyltransferase (EC 2.1.1.6),271,29.81,Catecholamine metabolism,SUBCELLULAR LOCATION: [Isoform Soluble]: Cytoplasm {ECO:0000269|PubMed:11559542}.; SUBCELLULAR LOCATION: [Isoform Membrane-bound]: Cell membrane {ECO:0000269|PubMed:21846718}; Single-pass type II membrane protein {ECO:0000269|PubMed:21846718}; Extracellular side {ECO:0000269|PubMed:21846718}.
CACNA1C,Q13936,"Voltage-dependent L-type calcium channel subunit alpha-1C (Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle) (Voltage-gated calcium channel subunit alpha Cav1.2)",2221,244.31,Calcium ion channel,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11741969, ECO:0000269|PubMed:12176756, ECO:0000269|PubMed:12181424, ECO:0000269|PubMed:15454078, ECO:0000269|PubMed:15863612, ECO:0000269|PubMed:16299511, ECO:0000269|PubMed:17071743, ECO:0000269|PubMed:17224476, ECO:0000269|PubMed:20953164, ECO:0000269|PubMed:24728418, ECO:0000269|PubMed:26253506, ECO:0000269|PubMed:27218670, ECO:0000269|PubMed:29078335, ECO:0000269|PubMed:29742403, ECO:0000269|PubMed:7737988, ECO:0000269|PubMed:8099908, ECO:0000269|PubMed:8392192, ECO:0000269|PubMed:9013606, ECO:0000269|PubMed:9087614, ECO:0000269|PubMed:9607315}; Multi-pass membrane protein {ECO:0000305}. Cell membrane, sarcolemma {ECO:0000250|UniProtKB:P15381}; Multi-pass membrane protein {ECO:0000305}. Perikaryon {ECO:0000250|UniProtKB:P22002}. Postsynaptic density membrane {ECO:0000250|UniProtKB:P22002}. Cell projection, dendrite {ECO:0000250|UniProtKB:P22002}. Cell membrane, sarcolemma, T-tubule {ECO:0000250|UniProtKB:Q01815}. Note=Colocalizes with ryanodine receptors in distinct clusters at the junctional membrane, where the sarcolemma and the sarcoplasmic reticulum are in close contact. The interaction between RRAD and CACNB2 promotes the expression of CACNA1C at the cell membrane. {ECO:0000250|UniProtKB:P15381}."
C3,P01024,Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b (Complement C3b-alpha' chain); Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2],1663,182.93,Complement / immune signaling,"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:7240134}.; SUBCELLULAR LOCATION: [Complement C3b]: Secreted {ECO:0000269|PubMed:3653927, ECO:0000269|PubMed:3897448, ECO:0000269|PubMed:6903192, ECO:0000269|PubMed:833545, ECO:0000269|PubMed:8349625}. Cell surface {ECO:0000269|PubMed:3653927, ECO:0000269|PubMed:3897448, ECO:0000269|PubMed:6903192, ECO:0000269|PubMed:833545, ECO:0000269|PubMed:8349625}. Note=Covalently associated with the surface of pathogens: the internal thioester bond reacts with carbohydrate antigens on the target surface to form amide or ester bonds. {ECO:0000269|PubMed:3653927, ECO:0000269|PubMed:3897448, ECO:0000269|PubMed:6903192, ECO:0000269|PubMed:833545, ECO:0000269|PubMed:8349625}.; SUBCELLULAR LOCATION: [C3a anaphylatoxin]: Secreted {ECO:0000269|PubMed:1238393}."
SETD1A,O15047,Histone-lysine N-methyltransferase SETD1A (EC 2.1.1.364) (Lysine N-methyltransferase 2F) (SET domain-containing protein 1A) (hSET1A) (Set1/Ash2 histone methyltransferase complex subunit SET1),1707,187.77,Chromatin regulation,"SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:17355966, ECO:0000269|PubMed:38003223}. Chromosome {ECO:0000269|PubMed:17355966}. Cytoplasm {ECO:0000269|PubMed:38003223}. Note=Localizes to a largely non-overlapping set of euchromatic nuclear speckles with SETD1B, suggesting that SETD1A and SETD1B each bind to a unique set of target genes (PubMed:17355966). Predominantly nuclear (PubMed:38003223). {ECO:0000269|PubMed:17355966, ECO:0000269|PubMed:38003223}."
